58.5	117810
58.6	118424
58.7	118265
58.8	118327
58.9	118552
59	119189
59.1	119219
59.2	119157
59.3	119283
59.4	119386
59.5	118908
59.6	119406
59.7	120445
59.8	120784
59.9	120360
60	119852
60.1	119869
60.2	120064
60.3	119693
60.4	120806
60.5	121116
60.6	121271
60.7	121108
60.8	121766
60.9	121753
61	121640
61.1	121586
61.2	122045
61.3	121757
61.4	121640
61.5	121348
61.6	121730
61.7	122051
61.8	122744
61.9	123119
62	123196
62.1	123145
62.2	123593
62.3	123597
62.4	124101
62.5	124236
62.6	123687
62.7	123385
62.8	123226
62.9	123029
63	122975
63.1	123020
63.2	122739
63.3	122669
63.4	122793
63.5	123848
63.6	124244
63.7	124300
63.8	124334
63.9	124345
64	123970
64.1	123524
64.2	124562
64.3	125687
64.4	126345
64.5	126296
64.6	126832
64.7	126813
64.8	127107
64.9	126423
65	126300
65.1	126067
65.2	126015
65.3	125494
65.4	125966
65.5	125809
65.6	126571
65.7	127025
65.8	126886
65.9	127396
66	127743
66.1	126858
66.2	125936
66.3	125057
66.4	125634
66.5	125876
66.6	125745
66.7	126710
66.8	126755
66.9	126738
67	126395
67.1	126423
67.2	126403
67.3	126869
67.4	126845
67.5	127643
67.6	127598
67.7	127698
67.8	127102
67.9	127598
68	127593
68.1	127432
68.2	126571
68.3	126684
68.4	126869
68.5	127392
68.6	128084
68.7	128301
68.8	128333
68.9	128026
69	127426
69.1	127201
69.2	127647
69.3	127319
69.4	127958
69.5	127827
69.6	127741
69.7	127340
69.8	128432
69.9	128316
70	128406
70.1	128288
70.2	128620
70.3	128239
70.4	128464
70.5	128226
70.6	128350
70.7	128121
70.8	128112
70.9	127968
71	128093
71.1	127381
71.2	126922
71.3	127004
71.4	127535
71.5	128329
71.6	128256
71.7	128080
71.8	127188
71.9	127282
72	127430
72.1	128138
72.2	128157
72.3	128492
72.4	129233
72.5	129036
72.6	128639
72.7	128721
72.8	128766
72.9	128747
73	129013
73.1	128987
73.2	129388
73.3	129531
73.4	129328
73.5	129572
73.6	130117
73.7	129711
73.8	129023
73.9	128901
74	129388
74.1	128901
74.2	129285
74.3	129242
74.4	129594
74.5	129495
74.6	129956
74.7	129418
74.8	130288
74.9	129549
75	129373
75.1	128702
75.2	128378
75.3	128288
75.4	129021
75.5	128882
75.6	128931
75.7	128639
75.8	129180
75.9	128873
76	128950
76.1	128995
76.2	129180
76.3	128644
76.4	128983
76.5	128802
76.6	129298
76.7	129315
76.8	129356
76.9	128910
77	128792
77.1	128324
77.2	127917
77.3	127216
77.4	127387
77.5	128129
77.6	127810
77.7	127851
77.8	127589
77.9	127291
78	127593
78.1	127720
78.2	128419
78.3	128877
78.4	128554
78.5	128309
78.6	128284
78.7	127563
78.8	127782
78.9	127900
79	128301
79.1	127737
79.2	127760
79.3	128067
79.4	127707
79.5	127400
79.6	127012
79.7	127838
79.8	128243
79.9	128378
80	128076
80.1	128035
80.2	127377
80.3	127355
80.4	127171
80.5	127409
80.6	127156
80.7	126706
80.8	126481
80.9	127074
81	127167
81.1	127044
81.2	127130
81.3	127184
81.4	126984
81.5	127025
81.6	126972
81.7	126616
81.8	126616
81.9	126228
82	126566
82.1	126680
82.2	126841
82.3	126710
82.4	126579
82.5	126588
82.6	126543
82.7	126899
82.8	126864
82.9	125957
83	125674
83.1	125872
83.2	126264
83.3	126150
83.4	126444
83.5	126026
83.6	126017
83.7	125299
83.8	124755
83.9	124444
84	125359
84.1	125499
84.2	125516
84.3	125679
84.4	125524
84.5	124705
84.6	123335
84.7	122613
84.8	122930
84.9	123280
85	123500
85.1	123061
85.2	123376
85.3	123773
85.4	123659
85.5	123642
85.6	122975
85.7	122090
85.8	122619
85.9	123065
86	122943
86.1	123016
86.2	122497
86.3	122321
86.4	123127
86.5	123275
86.6	122956
86.7	122559
86.8	121880
86.9	121063
87	121149
87.1	121685
87.2	121515
87.3	121762
87.4	121700
87.5	120923
87.6	120270
87.7	120478
87.8	121344
87.9	121217
88	121067
88.1	120748
88.2	120986
88.3	120585
88.4	120199
88.5	120229
88.6	120175
88.7	120252
88.8	120027
88.9	119791
89	119761
89.1	120199
89.2	120495
89.3	119725
89.4	119288
89.5	119749
89.6	119847
89.7	119095
89.8	118870
89.9	118098
90	118207
90.1	118201
90.2	118098
90.3	117864
90.4	117455
90.5	117264
90.6	117332
90.7	117407
90.8	116966
90.9	116826
91	116052
91.1	115849
91.2	116119
91.3	116923
91.4	116651
91.5	116123
91.6	115922
91.7	115836
91.8	115476
91.9	116025
92	115845
92.1	115731
92.2	115551
92.3	115113
92.4	114438
92.5	114970
92.6	115199
92.7	115251
92.8	114155
92.9	113808
93	114056
93.1	114033
93.2	114249
93.3	114483
93.4	114065
93.5	113739
93.6	113514
93.7	113304
93.8	113443
93.9	112470
94	111477
94.1	109927
94.2	110626
94.3	111374
94.4	111758
94.5	111535
94.6	112262
94.7	112425
94.8	112234
94.9	112221
95	111812
95.1	111542
95.2	110766
95.3	110950
95.4	110643
95.5	110082
95.6	110302
95.7	110532
95.8	110176
95.9	109559
96	109666
96.1	110144
96.2	109842
96.3	109571
96.4	109016
96.5	109053
96.6	108557
96.7	108418
96.8	108349
96.9	108197
97	107363
97.1	106471
97.2	106195
97.3	105425
97.4	105502
97.5	104812
97.6	104735
97.7	104690
97.8	104673
97.9	104595
98	104754
98.1	104795
98.2	104443
98.3	104439
98.4	104370
98.5	103944
98.6	103189
98.7	103601
98.8	103502
98.9	102869
99	102563
99.1	101969
99.2	101847
99.3	101823
99.4	101176
99.5	100670
99.6	100355
99.7	100473
99.8	100719
99.9	100391
100	100550
100.1	100415
100.2	100543
100.3	100558
100.4	100590
100.5	100269
100.6	100305
100.7	99973
100.8	99390
100.9	99148
101	99634
101.1	99572
101.2	99315
101.3	99021
101.4	98980
101.5	98597
101.6	97763
101.7	96826
101.8	96438
101.9	96466
102	96172
102.1	96114
102.2	96371
102.3	97272
102.4	97278
102.5	97055
102.6	96744
102.7	96511
102.8	95998
102.9	95153
103	94217
103.1	94086
103.2	94195
103.3	94731
103.4	94330
103.5	94262
103.6	94011
103.7	94056
103.8	93779
103.9	93170
104	92388
104.1	92077
104.2	92278
104.3	92156
104.4	91833
104.5	91721
104.6	91333
104.7	91230
104.8	90917
104.9	90441
105	89869
105.1	89161
105.2	89056
105.3	88850
105.4	88426
105.5	87918
105.6	87836
105.7	87412
105.8	87281
105.9	86822
106	86548
